F,phi_norm,a,c,C**2,a**2,a/t,a/c,ac/t,a/(c**2),a/(t**2),(a**2)/c,(a**2)/t,sin(a/t),cos(a/t),act,c**3,a**3,(c**3 * t)/a,(a**2 * c)/t,a * (c**2),tan(a/t),pn/a,pn/t,pn/c,(a**2+c**2)**.5,c**2+a**2
1.150704064,1.008678508,0.15,0.03,0.0009,0.0225,0.2,0.03,0.006,166.6666667,0.266666667,0.75,0.03,0.198669331,0.980066578,0.003375,0.000027,0.003375,0.000135,0.0009,0.000135,0.2027100357,6.724523387,1.344904677,33.62261693,0.1529705854,0.0234
1.151569457,0.991279049,0.15,0.03,0.0009,0.0225,0.2,0.03,0.006,166.6666667,0.266666667,0.75,0.03,0.198669331,0.980066578,0.003375,0.000027,0.003375,0.000135,0.0009,0.000135,0.2027100357,6.608526993,1.321705399,33.04263497,0.1529705854,0.0234
1.152293645,0.973833463,0.15,0.03,0.0009,0.0225,0.2,0.03,0.006,166.6666667,0.266666667,0.75,0.03,0.198669331,0.980066578,0.003375,0.000027,0.003375,0.000135,0.0009,0.000135,0.2027100357,6.492223087,1.298444617,32.46111543,0.1529705854,0.0234
1.151686725,0.956374221,0.15,0.03,0.0009,0.0225,0.2,0.03,0.006,166.6666667,0.266666667,0.75,0.03,0.198669331,0.980066578,0.003375,0.000027,0.003375,0.000135,0.0009,0.000135,0.2027100357,6.37582814,1.275165628,31.8791407,0.1529705854,0.0234
1.150742089,0.938888671,0.15,0.03,0.0009,0.0225,0.2,0.03,0.006,166.6666667,0.266666667,0.75,0.03,0.198669331,0.980066578,0.003375,0.000027,0.003375,0.000135,0.0009,0.000135,0.2027100357,6.259257807,1.251851561,31.29628903,0.1529705854,0.0234
1.148874063,0.921363969,0.15,0.03,0.0009,0.0225,0.2,0.03,0.006,166.6666667,0.266666667,0.75,0.03,0.198669331,0.980066578,0.003375,0.000027,0.003375,0.000135,0.0009,0.000135,0.2027100357,6.14242646,1.228485292,30.7121323,0.1529705854,0.0234
1.146694387,0.903786992,0.15,0.03,0.0009,0.0225,0.2,0.03,0.006,166.6666667,0.266666667,0.75,0.03,0.198669331,0.980066578,0.003375,0.000027,0.003375,0.000135,0.0009,0.000135,0.2027100357,6.025246613,1.205049323,30.12623307,0.1529705854,0.0234
1.144394562,0.886144261,0.15,0.03,0.0009,0.0225,0.2,0.03,0.006,166.6666667,0.266666667,0.75,0.03,0.198669331,0.980066578,0.003375,0.000027,0.003375,0.000135,0.0009,0.000135,0.2027100357,5.907628407,1.181525681,29.53814203,0.1529705854,0.0234
1.141001403,0.868421802,0.15,0.03,0.0009,0.0225,0.2,0.03,0.006,166.6666667,0.266666667,0.75,0.03,0.198669331,0.980066578,0.003375,0.000027,0.003375,0.000135,0.0009,0.000135,0.2027100357,5.78947868,1.157895736,28.9473934,0.1529705854,0.0234
1.137903322,0.85060502,0.15,0.03,0.0009,0.0225,0.2,0.03,0.006,166.6666667,0.266666667,0.75,0.03,0.198669331,0.980066578,0.003375,0.000027,0.003375,0.000135,0.0009,0.000135,0.2027100357,5.670700133,1.134140027,28.35350067,0.1529705854,0.0234
